,title,text,Title,First Line,Author,Composition Date,Composition Location,Source of First Publication,First Publication Publisher,First Publication Year,First Publication Location
11,Untitled,"['Земная слава как дым,                Не этого я просила.                Любовникам всем моим                Я счастие приносила.                Один и сейчас живой,                В свою подругу влюблённый,                И бронзовым стал другой                 На площади оснежённой.']",no title,Zemnaia slava kak dym…,Anna Akhmatova,winter 1914,,Podorozhnik, Petropolis,1921,
12,Untitled,"['Это просто, это ясно,                Это всякому понятно,                Ты меня совсем не любишь,                Не полюбишь никогда.                Для чего же так тянуться                Мне к чужому человеку,                Для чего же каждый вечер                Мне молиться за тебя?                Для чего же, бросив друга                И кудрявого ребёнка,                Бросив город мой любимый                И родную сторону,                Чёрной нищенкой скитаюсь                По столице иноземной?                О, как весело мне думать,                Что тебя увижу я!']",no title,"Eto prosto, eto iasno…",Anna Akhmatova,summer 1917,Slepnevo,Podorozhnik, Petropolis,1921,
13,Untitled,"['О нет, я не тебя любила,                Палима сладостным огнём,                Так объясни, какая сила                В печальном имени твоём.', 'Передо мною на колени                Ты стал, как будто ждал венца,                И смертные коснулись тени                Спокойно-юного лица.', 'И ты ушёл. Не за победой,                За смертью. Ночи глубоки!                О, ангел мой, не знай, не ведай                Моей теперешней тоски.', 'Но если белым солнцем рая               В лесу осветится тропа,                Но если птица полевая                Взлетит с колючего снопа,', 'Я знаю: это ты, убитый,                Мне хочешь рассказать о том,                И снова вижу холм изрытый                Над окровавленным Днестром.', 'Забуду дни любви и славы,                Забуду молодость мою,                Душа темна, пути лукавы,                Но образ твой, твой подвиг правый                До часа смерти сохраню.']",no title,"O net, ia ne tebia liubila…",Anna Akhmatova,"July 19, 1917",Slepnevo,Podorozhnik, Petropolis,1921,
14,Untitled,"['Я слышу иволги всегда печальный голос                И лета пышного приветствую ущерб,                А к колосу прижатый тесно колос                С змеиным свистом срезывает серп.', 'И стройных жниц короткие подолы,                Как флаги в праздник, по ветру летят.                Теперь бы звон бубенчиков весёлых,                Сквозь пыльные ресницы долгий взгляд.', 'Не ласки жду я, не любовной лести                В предчувствии неотвратимой тьмы,                Но приходи взглянуть на рай, где вместе                Блаженны и невинны были мы.']",no title,Ia slyshu ivolgi vsegda…,Anna Akhmatova,"July 27, 1917",Slepnevo,Podorozhnik, Petropolis,1921,
15,Untitled,"['Я окошка не завесила,                 Прямо в горницу гляди.                Оттого мне нынче весело,                Что не можешь ты уйти.                Называй же беззаконницей,                Надо мной глумись со зла:                Я была твоей бессонницей,                Я тоской твоей была.']",no title,Ia okoshka ne zavesila…,Anna Akhmatova,"March 5, 1916",,Podorozhnik, Petropolis,1921,
16,Untitled,"['И вот одна осталась я                Считать пустые дни.                О вольные мои друзья,                О лебеди мои!', 'И песней я не скличу вас,                Слезами не верну,                Но вечером в печальный час                В молитве помяну.', 'Настигнут смертною стрелой,                Один из вас упал,                И чёрным вороном другой,                Меня целуя, стал.', 'Но так бывает раз в году,                Когда растает лёд,                В Екатеринином саду               Стою у чистых вод', 'И слышу плеск широких крыл                Над гладью голубой.                Не знаю, кто окно раскрыл                В темнице гробовой.']",no title,I vot odna ostalas' ia…,Anna Akhmatova,1917,,Podorozhnik, Petropolis,1921,
17,Untitled,"['Чем хуже этот век предшествующих? Разве                Тем, что в чаду печали и тревог                Он к самой чёрной прикоснулся язве,                Но исцелить её не мог.', 'Ещё на западе земное солнце светит,                И кровли городов в его лучах блестят,                А здесь уж белая дома крестами метит                И кличет воронов, и вороны летят.']",no title,Chem khuzhe etot vek…,Anna Akhmatova,winter 1919,,Podorozhnik, Petropolis,1921,
18,Untitled,"['Теперь никто не станет слушать песен.                     Предсказанные наступили дни.                     Моя последняя, мир больше не чудесен,                     Не разрывай мне сердца, не звени.', 'Ещё недавно ласточкой свободной                     Свершала ты свой утренний полёт,                     А ныне станешь нищенкой голодной,                     Не достучишься у чужих ворот.']",no title,Teper' nikto ne stanet slushat' pesen…,Anna Akhmatova,1917,,Podorozhnik, Petropolis,1921,
19,Untitled,"['По твёрдому гребню сугроба                В твой белый, таинственный дом,                Такие притихшие оба,                В молчании нежном идём.                И слаще всех песен пропетых                Мне этот исполненный сон,                Качание веток задетых                И шпор твоих лёгоньких звон.']",no title,Po tverdomu grebniu sugroba…,Anna Akhmatova,January 1917,,Podorozhnik, Petropolis,1921,
20,Untitled,"['Теперь прощай, столица,                Прощай, весна моя,                Уже по мне томится                Корельская земля', 'Поля и огороды                Спокойно зелены,                Еще глубоки воды,                И небеса бледны.', 'Болотная русалка,                Хозяйка этих мест,                Глядит, вздыхая жалко,                На колокольный крест.', 'А иволга, подруга                Моих безгрешных дней,                Вчера вернувшись с юга,                Кричит среди ветвей,', 'Что стыдно оставаться                До мая в городах,                В театре задыхаться,                Скучать на островах.', 'Но иволга не знает,                Русалке не понять,                Как сладко мне бывает                Его поцеловать!', 'И всё-таки сегодня               На тихом склоне дня               Уйду. Страна господня,               Прими к себе меня!']",no title,Teper' proshchai stolitsa…,Anna Akhmatova,spring 1917,,Podorozhnik, Petropolis,1921,
21,Untitled,"['Ждала его напрасно много лет.                Похоже это время на дремоту.                Но воссиял неугасимый свет                Тому три года в Вербную Субботу.                Мой голос оборвался и затих —                С улыбкой предо мной стоял жених.', 'А за окном со свечками народ                Неспешно шёл. О, вечер богомольный!                Слегка хрустел апрельский тонкий лёд,                И над толпою голос колокольный,                Как утешенье вещее, звучал,                И чёрный ветер огоньки качал.', 'И белые нарциссы на столе,                И красное вино в бокале плоском                Я видела как бы в рассветной мгле.                Моя рука, закапанная воском,                Дрожала, принимая поцелуй,                И пела кровь: блаженная, ликуй!']",no title,Zhdala ego naprasno mnogo let…,Anna Akhmatova,1916 to 1918,,Podorozhnik, Petropolis,1921,
22,Ночью,"['Стоит на небе месяц, чуть живой,                Средь облаков струящихся и мелких,                И у дворца угрюмый часовой                Глядит, сердясь, на башенные стрелки.', 'Идёт домой неверная жена,                Её лицо задумчиво и строго,                А верную в тугих объятьях сна                Сжигает негасимая тревога.', 'Что мне до них? Семь дней тому назад,                Вздохнувши, я прости сказала миру,                Но душно там, и я пробралась в сад                Взглянуть на звёзды и потрогать лиру.']",Noch'iu,Stoit na nebe mesiats…,Anna Akhmatova,autumn 1918,Moscow,Podorozhnik, Petropolis,1921,
23,Untitled,"['Течёт река неспешно по долине,                     Многооконный на пригорке дом.                     А мы живём, как при Екатерине:                     Молебны служим, урожая ждём.                     Перенеся двухдневную разлуку,                     К нам едет гость вдоль нивы золотой,                     Целует бабушке в гостиной руку                     И губы мне на лестнице крутой.']",no title,Techet reka nespeshno…,Anna Akhmatova,summer 1917,Slepnevo,Podorozhnik, Petropolis,1921,
24,Песенка,"['Бывало, я с утра молчу                     О том, что сон мне пел.                     Румяной розе и лучу,                     И мне — один удел.                     С покатых гор ползут снега,                     А я белей, чем снег,                     Но сладко снятся берега                     Разливных мутных рек,                     Еловой рощи свежий шум                     Покойнее рассветных дум.']",Pesenka,"Byvalo, ia c utra molchu…",Anna Akhmatova,"March 5, 1916",,Podorozhnik, Petropolis,1921,
25,Untitled,"['И целый день, своих пугаясь стонов,                     В тоске смертельной мечется толпа,                     А за рекой на траурных знамёнах                     Зловещие смеются черепа.                     Вот для чего я пела и мечтала,                     Мне сердце разорвали пополам,                     Как после залпа сразу тихо стало,                     Смерть выслала дозорных по дворам.']",no title,"I tselyi den', svoikh pugaias' stonov…",Anna Akhmatova,summer 1917,,Podorozhnik, Petropolis,1921,
26,Untitled,"['Ты мог бы мне снится и реже,                     Ведь часто встречаемся мы,                     Но грустен, взволнован и нежен                     Ты только в святилище тьмы.', 'И слаще хвалы серафима                     Мне губ твоих милая лесть...                     О, там ты не путаешь имя                     Моё. Не вздыхаешь, как здесь.']",no title,Ty mog by mne snit'sia i rezhe...,Anna Akhmatova,1914,,Podorozhnik, Petropolis,1921,
27,Untitled,"['Когда в тоске самоубийства                Народ гостей немецких ждал,                И дух суровый византийства                От русской Церкви отлетал,', 'Когда приневская столица,                Забыв величие своё,                Как опьяневшая блудница,                Не знала, кто берёт её,—', 'Мне голос был. Он звал утешно,                Он говорил: «Иди сюда,                Оставь свой край, глухой и грешный,                Оставь Россию навсегда.', 'Я кровь от рук твоих отмою,                Из сердца выну чёрный стыд,                Я новым именем покрою                Боль поражений и обид».', 'Но равнодушно и спокойно                Руками я замкнула слух,                Чтоб этой речью недостойной                Не осквернился скорбный дух.']",no title,Kogda v toske samoubiistva…,Anna Akhmatova,autumn 1917,Petrograd,Podorozhnik, Petropolis,1921,
28,Untitled,"['Покинув рощи родины священной                     И дом, где муза, плача, изнывала,                     Я, тихая, весёлая жила                     На низком острове, который, словно плот,                     Остановился в пышной Невской дельте.                     О, зимние таинственные дни,                     И милый труд, и лёгкая усталость,                     И розы в умывальном кувшине!                     Был переулок снежным и недлинным,                     И против двери к нам стеной алтарной                     Воздвигнут храм Святой Екатерины.                     Как рано я из дома выходила,                     И часто по нетронутому снегу                     Свои следы вчерашние напрасно                     На бледной чистой пелене ища,                     И вдоль реки, где шхуны, как голубки                     Друг к другу нежно, нежно прижимаясь,                     О сером взморье до весны тоскуют,                     Я подходила к старому мосту.                     Там комната, похожая на клетку,                     Под самой крышей в грязном шумном доме,                     Где он, как чиж, свистал перед мольбертом                     И жаловался весело, то грустно                     О радости не бывшей говорил.                     Как в зеркало, глядела я тревожно                     На серый холст, и с каждою неделей                     Всё горше и страннее было сходство                     Моё с моим изображеньем новым.                     Теперь не знаю, где художник милый,                     С которым я из голубой мансарды                     Через окно на крышу выходила,                     Чтоб видеть снег, Неву и облака,                     Но чувствую, что Музы наши дружны                     Беспечной и пленительною дружбой,                     Как девушки, не знавшие любви.']",no title,Pokinuv roshchi rodiny sviashchennoi…,Anna Akhmatova,,,Podorozhnik, Petropolis,1921,
29,Untitled,"['Смеркается, и в небе темно-синем,                     Где так недавно храм Ерусалимский                    Таинственным сиял великолепьем,                     Лишь две звезды над путаницей веток,                     И снег летит откуда-то не сверху,                     А словно подымается с земли,                     Ленивый, ласковый и осторожный.                     Мне странною в тот день была прогулка.                     Когда я вышла, ослепил меня                     Прозрачный отблеск на вещах и лицах,                     Как будто всюду лепестки лежали                     Тех жёлто-розовых некрупных роз,                     Название которых я забыла.                     Безветренный, сухой, морозный воздух                     Так каждый звук лелеял и хранил,                     Что мнилось мне: молчанья не бывает.                     И на мосту, сквозь ржавые перила                     Просовывая руки в рукавичках,                     Кормили дети пёстрых жадных уток,                     Что кувыркались в проруби чернильной.                     И я подумала: не может быть,                     Чтоб я когда-нибудь забыла это.                     И если трудный путь мне предстоит.                     Вот лёгкий груз, который мне под силу                     С собою взять, чтоб в старости, в болезни,                     Быть может, в нищете — припоминать                     Закат неистовый и полноту                     Душевных сил, и прелесть милой жизни.']",no title,"Smerkaetsia, i v nebe temno-sinem…",Anna Akhmatova,1914 to 1916,,Podorozhnik, Petropolis,1921,
30,Зáре (translation from Portuguese),"['Тот счастлив, кто прошёл среди мучений,                     Среди тревог и страсти жизни шумной,                     Подобно розе, что цветёт бездумно,                     И легче по водам бегущей тени.', 'Так жизнь твоя была чужда заботе,                     Как тонкий сон, но сладостный и нежный:                     Проснулась...улыбнулась... и небрежно                     Вернулась ты к нарушенной дремоте.']",Zare,"Tot schastliv, kto proshel sredi muchenii…",Anna Akhmatova,July 1920,,Podorozhnik, Petropolis,1921,
31,Мы,"['На смуглые ладони площадей               Мы каждый день расплескиваем души,               Мы каждый день выходим солнце слушать               На смуглые ладони площадей...', 'Что горячее: солнце или кровь? -               Око и мы стоим на вечной страже,               Но срок придет, и мы друг другу скажем,               Что горячее, - солнце или кровь...', 'Мы пьем вино из доменных печей,               У горнов страсти наши закаляем,               Мы, умирая, снова воскресаем,               Чтоб пить вино из доменных печей...', 'У наших девушек бездонные глаза,               В голубизну их сотни солнц вместятся,               Они ни тьмы, ни блеска не боятся...               У наших девушек бездонные глаза...', 'На смуглые ладони площадей               Мы каждый день расплескиваем души,               Мы каждый день выходим солнце слушать               На смуглые ладони площадей...']",My,Na smuglye ladoni ploshchadei…,Vasilii Dmitrievich Aleksandrovskii,1921,,Krep', R. V. Ts. Vologda,1921,
32,Москва: Отрывки из поэмы (excerpts),"['Эти дни пролетают как птицы                        Наши сны зажигать и тушить…                        Если любишь, должны засветиться                        На страницах                        Брызги души.', 'Был улиц узлами                        Затянут,                        Куда не повернешься—ударишься лбом.                        Казалось:                        Вот за теми углами                        В тумане                        Я завяну                        Каменных клеток вечным рабом…                        Память свято хранила:                        Звенящую синь лесов,                        Полей золотые рогожи…                        Ах, зачем-же, зачем заманили                        Этих улиц развратная ложь голосов,                        Вывесок нахальные рожи!…                        Так о чем-же мечтать? Все равно                        Не избавиться,                        Не уйти,                        Не стряхнуть цепей…                        Опускайся-ж на дно,                        Может быть и понравится                        По теченью грести                        В праздно-скучной толпе…                        Так казалось тогда,                        ……', 'И таким я был маленьким                        И ничтожным, как тень на стене…                        Я тащил, не зная куда,                        Свою грусть, как намокшие валенки                        В этой гуще туманом с’еденных дней…                        Говорил сам себе:                        Не хочу чистоты аптечной…                        Если ночью светит укор,                        Я еще, и еще,—бесконечно                        Окуну свое тело в позор…                        Сброшу лохмотья приличий                        В оскалы бульварных луж                        И накрашенную Беатриче\xa0                        Буду ждать, как достойный муж.                        Я не знаю, чья боль сильнее:                        Язвы-ль тела подруги моей,                        Или та, что взростил в огне я,                        В безысходной тоске ночей…                        Я заставлю ее поганить                        Мое тело собой до утра,                        Чтоб исчезло навеки в тумане                        Роковое мое Вчера…                        Все, что было когда-то свято,                        Все, о чем я любил мечтать,                        Я, за страшную ложь, в расплату                        На измятую                        Брошу кровать…', 'И сгнил-бы в тумане столичном,                        Как и многие скукой зарос,                        Если-б радостно в шуме фабричном                        Не услышал всплески гроз…                        Дни так были похожи на сны                        Заметался я в грохоте стали                        И не видел, как крылья Весны                        За моею спиной выростали.', 'Двенадцать часов                        Пропахших угаром и потом                        И руганью липкой, как глина…                        Смотри не зевай!                        Стережет колесо                        Роковым поворотом                        И пастью железной машина.                        Не зевай! Не зевай!                        Завертят шкива                        Потолок кровью окрасят…                        Глаз покрасневших с ремня не спускай,                        Пока сумерки день не погасят…                        А нервы, как струны, звенят и звенят,                        Усталостью мускулы связаны                        И скоро гудок!… А тайны огня                        Еще сердцу не все пересказаны…                        Так лови-же, лови,                        Не зевай! Не зевай!—                        Ведь не даром в крови                        Вот эти шкива….                        Ведь не даром в глазах                        Снующих рабочих                        И дерзость, и страх,                        И полдни, и ночи…                        Ты, не веривший в жизни себе самому,                        Мечтавший в тумане о каком-то просторе,                        Найдешь свое счастье здесь…                        Так пей-же, пей кровавую тьму                        Или в этом бешеном хоре                        Сам расплескайся весь…', 'Это песни машин                        Или гимны души?…                        Я не ведал, не ведал, не ведал….                        Все сливалось в одно,__                        За звеном звено                        И чертило огнем:                        Победа…                        ……', 'Март и октябрь                        Два                        Орла из двенадцати птиц!…                        Клекотом чугунным глушиласьМосква,                        Светилась глазами зарниц…                        О, семнадцатый год,                        О, Москва!…                        Вам, расплескавшим огненный мед.                        Слава!                        Слава!                        Слава!', 'Когда солнца огненный кнут                        Впился в спину тумана,                        Мы засыпали пригоршнями кровавых минут                        Все страницы Евангелья и Корана.', 'Нас, дерзких, как пламя Октября,                        Упорных, как взмахи колес паровоза,                        Не остановят в пути н горы, ни моря,                        Ни слякоть, ни засухи, ни морозы…', 'Мы пришли, растоптать Вчера                        Сапогами, подкованными гневом,                        Разбросать пожаров золотые веера,                        Выстегать топи звездным посевом…', 'Это только начало, только пролог.                        За нашей спитою—дети…                        Они вымостят новые сотни дорог                        К берегам грядущих столетий!…', 'Нет, не могут, не могут онеметь                        Колокола над Новью,                        Это бьются сердца о медь,                        Истекая солнечной кровью…', 'Не одна уже сотня—в куски                        Не одна уже тысяча—в клочья,                        А внизу все горят зрачки                        И скалятся пасти волчьи…', 'Не теперь, не теперь растить                        В своих душах любовные бредни—                        Мы пришли по векам отслужить                        Своей кровью горячей обедни…', 'Не теперь, не теперь искать                        На груди у любимой покоя,—                        Выжмет нежность твою тоска                        Ледяной, тяжелой рукою…', 'Нет, не могут, не могут онеметь                        Колокола над Новью,—                        Это бьются сердца о медь                        Истекая солнечной кровью.', 'Ах, не тесно, не тесно, не тесно                        Перекипевшему в буре мне,—                        Я люблю переулки Пресни                        В предзакатном огне…', 'Я люблю вечерами прочитывать                        На заборах обрывки афиш,                        Когда солнце лучи раскидывает                        По горячим ладоням крыш…', 'Когда ночью туманом напудренный                        Город стихнет до нового дня                        Как встречает приветливо Кудрино                        Возвращающегося меня…', 'Твоя радость творца дорога мне                        Мировой неподвижный Колосс…                        …….', 'Ах, люблю я, люблю твои камни,                        Исчерченные пулями гроз…', 'Москва!                        О, позволь-же, позволь                        Целовать\xa0                        Смуглые улиц руки                        За глубокие, тайные муки,                        За великую, тайную боль…', 'Эти дни пролетают как птицы                        Наши сны зажигать и тушить…                        Если любишь, должны засветиться                        На страницах                        Брызги души…']",Moskva,"Eti dni proletaiut kak ptitsy… (contains excerpts from pts. 1, 6-8, 10)",Vasilii Dmitrievich Aleksandrovskii,"August 1, 1920 to September 12, 1920",,Krep', R. V. Ts. Vologda,1921,
33,Великой родине!,"['Объята вновь грозой могучей               Родная, русская земля;               Враги несутся черной тучей               На наши мирные поля.', 'Апологеты мысли тленной,                Враги славянской красоты               Давно таят в душе надменной               Свои безумные мечты.', 'Давно мутит их дух видений,               Что крылья швабского орла               В крови растопчут русский гений,               Что слава Руси умерла.', 'Трудна их темная задача:               Нет, не умрет народ такой,               Где, восторгаяся и плача,               Творили Пушкин и Толстой!', 'Где на призыв святого гнева               Народ восстанет, как огонь               Для благодетельного сева               Среди мучительных годин!..', 'Презренья, мщения достоин               Поправший лучшие права…               Иди, бесстрашный русский воин, —               Светла дорога и права!', 'Идите, ратники родные,               Геройством изумляйте мир,               А хлебосольная Россия               Врагам сготовит пышный пир!', 'Не вы, надменные тевтоны,               бывали на Руси в гостях;               Ходили к нам Наполеоны,               И—рассыпалися во прах!', 'Идите, ратники родные,               к великой, радостной мечте,               и помните слова святые:               «Иль с щитом, иль—на щите!»']",Velikoi rodine,Ob'iata vnov' grozoi moguchei…,Ivan Nikolaevich Antonov,,,V velikuiu godinu, Gubernskaia tipografiia,1914,
